Sample	Unique Reads	Duplicate Reads
SRR11647692_1	8375432.0	12142210.0
SRR11647692_2	9036833.0	11480809.0
SRR11647693_1	7483957.0	9784996.0
SRR11647693_2	7947339.0	9321614.0
SRR11647694_1	8630843.0	9051793.0
SRR11647694_2	9295213.0	8387423.0
SRR11647702_1	7551434.0	10495115.0
SRR11647702_2	8110665.0	9935884.0
SRR11647703_1	8399301.0	10802869.0
SRR11647703_2	9045340.0	10156830.0
SRR11647704_1	7362150.0	9715945.0
SRR11647704_2	7981403.0	9096692.0
